s,N,a,ratio_neg,ratio_pos,,
0.587786665,100000,7,0.9612875,1.030503326,,
0.693147181,100,1,0.936802875,1.066417032,,
0.693147181,200,1,0.907453795,1.021732632,,
0.693147181,300,1,0.969135356,1.053144358,,
0.693147181,500,1,0.965061718,1.027663174,,
0.693147181,700,1,0.984662441,1.026067714,,
0.693147181,1000,1,1.003690189,1.033903159,,
0.693147181,2000,1,0.963330515,1.04271796,,
0.693147181,3000,1,0.975942488,1.064722005,,
0.693147181,5000,1,0.95723098,1.01643573,,
0.693147181,7000,1,0.991915148,0.994737943,,
0.693147181,10000,1,0.977959954,1.036117146,,
0.693147181,50000,1,1.02753687,0.962786431,,
0.693147181,100000,1,0.988627893,0.996645219,,
0.693147181,100,2,0.982215363,1.220478295,,
0.693147181,200,2,0.952715046,1.142188547,,
0.693147181,300,2,1.0236783,1.151530528,,
0.693147181,500,2,0.983774723,1.092040763,,
0.693147181,700,2,0.984012686,1.061209691,,
